new_id	phase	P__Actinobacteria	P__Proteobacteria	P__Bacteroidetes	P__Firmicutes	P__Cyanobacteria.Chloroplast	P__Parcubacteria	P__Fusobacteria	K__Bacteria	NA	P__SR1	P__Candidatus_Saccharibacteria	P__Verrucomicrobia	P__Deferribacteres	P__Chloroflexi	P__Acidobacteria	P__Spirochaetes	P__Deinococcus.Thermus	P__Fibrobacteres	P__Tenericutes	P__Planctomycetes	P__Armatimonadetes	P__Gemmatimonadetes	P__Nitrospirae	P__Latescibacteria	P__Elusimicrobia	P__Ignavibacteriae	P__Microgenomates	P__Cloacimonetes	P__Synergistetes	P__candidate_division_WPS.1	P__Caldiserica	P__Chlamydiae	P__Lentisphaerae
2020-023_PSC_0054	BL	61	228	88	76	26	17	0	32	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0057	BL	9483	2569	922	14614	45	8	0	81	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0058	BL	40	507	720	78	30	13	2	64	0	0	9	0	0	4	4	2	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0059	BL	2974	5710	1656	1898	437	334	0	569	43	0	0	19	0	331	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0060	BL	184	183	98	167	11	9	2	20	15	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0061	BL	1852	2253	622	2117	41	199	0	17	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0062	BL	1966	10855	5244	934	638	163	0	707	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0063	BL	73	161	164	51	5	29	0	17	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0064	BL	8343	8335	5397	11663	166	159	0	2082	0	0	0	187	0	681	1095	0	0	0	0	165	0	258	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0065	BL	1419	2582	461	1446	1197	827	0	698	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0
2020-023_PSC_0066	BL	942	253	29	590	16	0	0	22	18	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0067	BL	1947	2513	272	3814	0	390	0	537	39	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0069	BL	2615	7222	2119	5186	1645	713	418	40	70	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0070	BL	1008	435	131	213	27	30	0	76	30	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0074	BL	33	22	124	24	25	15	0	33	0	0	2	3	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0075	BL	3729	2898	4041	2585	199	132	29	489	2	0	32	10	0	18	33	25	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
