new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	P__Verrucomicrobia	P__Actinobacteria	P__Fusobacteria	P__Tenericutes	K__Bacteria	P__Spirochaetes	P__Cyanobacteria.Chloroplast	P__Synergistetes	P__Candidatus_Saccharibacteria	P__Lentisphaerae	P__Elusimicrobia	P__Parcubacteria	P__Deferribacteres	P__Deinococcus.Thermus	NA	P__Acidobacteria	P__Microgenomates	P__Chloroflexi	P__Armatimonadetes
2020-023_PSC_0099	BL	9928	12349	599	0	10	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0100	BL	3311	9689	21	0	60	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0101	BL	9383	5594	8673	0	325	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0102	BL	7550	17058	10735	22	209	0	0	10	0	3	4	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0103	BL	7372	12406	1190	278	96	0	0	618	0	5	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0104	BL	5562	6542	317	0	190	0	0	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0105	BL	8879	7840	6267	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0106	BL	6061	13530	1823	0	614	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0107	BL	14280	12297	1092	0	76	0	0	11	0	8	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0108	BL	25873	19688	6101	0	512	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0110	BL	3581	6748	6161	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0111	BL	11801	14833	3259	0	110	0	0	0	0	56	0	2	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0112	BL	14727	14052	3447	293	273	0	3990	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0114	BL	18171	15264	1320	350	33	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0116	BL	7137	9745	1996	0	593	0	0	126	0	0	0	5	205	0	0	0	0	0	0	0	0	0
2020-023_PSC_0117	BL	10902	5043	4814	33	79	0	0	33	0	5	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0120	BL	12150	10171	1903	0	145	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0121	BL	8601	4059	4973	7	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0122	BL	34106	7990	7099	0	2	25	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0124	BL	14564	15313	4329	878	226	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
2020-023_PSC_0125	BL	13225	9839	2197	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0126	BL	15295	7161	1403	39	223	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0
