new_id	phase	P__Bacteroidetes	P__Firmicutes	P__Proteobacteria	K__Bacteria	P__Actinobacteria	P__Cyanobacteria.Chloroplast	P__Parcubacteria	P__Acidobacteria	P__Gemmatimonadetes	P__Candidatus_Saccharibacteria	P__Deinococcus.Thermus	P__Armatimonadetes	P__Tenericutes	P__Chloroflexi	P__Verrucomicrobia	P__SR1	P__Spirochaetes	P__Nitrospirae	Unassigned	P__Planctomycetes	P__Fibrobacteres	P__Fusobacteria	P__Synergistetes	P__Microgenomates	P__Deferribacteres	P__Cloacimonetes	P__candidate_division_WPS.1	P__Hydrogenedentes	P__Latescibacteria	P__Elusimicrobia	P__Lentisphaerae	P__Ignavibacteriae
2020-023_PSC_0639	BL	4140	1435	7049	2250	3470	808	298	0	0	0	0	12	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0643	BL	2771	9770	8473	1012	3788	724	229	88	0	29	0	0	0	0	4	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0658	BL	4985	6750	5630	2358	655	687	230	42	0	34	0	0	0	0	27	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0667	BL	3048	6017	6921	1382	1346	790	282	17	18	61	0	0	0	23	5	49	0	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0670	BL	3233	5292	2196	1184	869	340	112	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0688	BL	3655	7395	7335	1644	1284	565	554	139	43	0	0	0	0	0	13	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0694	BL	1967	11373	8595	400	6835	472	127	163	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0695	BL	10952	541	12737	8569	1856	2945	2700	184	103	96	0	0	0	0	158	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0698	BL	5481	1661	6469	2771	6882	1079	1065	113	16	192	0	0	0	8	37	8	142	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0706	BL	1274	883	2791	912	617	0	451	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0719	BL	7364	697	9993	3879	1156	1332	562	246	272	430	0	0	64	72	22	0	0	0	170	15	0	0	0	0	0	0	0	0	0	0	0	0
