new_id	phase	C__Actinobacteria	C__Gammaproteobacteria	C__Betaproteobacteria	C__Flavobacteriia	C__Bacilli	C__Bacteroidia	C__Chloroplast	C__Clostridia	C__Alphaproteobacteria	P__Parcubacteria	C__Fusobacteriia	C__Sphingobacteriia	C__Negativicutes	K__Bacteria	P__Firmicutes	C__Cyanobacteria	C__Erysipelotrichia	NA	C__Deltaproteobacteria	P__Proteobacteria	P__Bacteroidetes	C__Cytophagia	C__Epsilonproteobacteria	P__SR1	P__Candidatus_Saccharibacteria	C__Verrucomicrobiae	C__Deferribacteres	C__Thermomicrobia	P__Chloroflexi	C__Chloroflexia	C__Acidobacteria_Gp6	C__Acidobacteria_Gp4	C__Spirochaetia	C__Deinococci	C__Acidobacteria_Gp3	C__Fibrobacteria	C__Mollicutes	C__Acidobacteria_Gp1	C__Planctomycetia	C__Oligoflexia	C__Acidobacteria_Gp16	C__Thermoleophilia	P__Verrucomicrobia	C__Armatimonadia	P__Cyanobacteria.Chloroplast	P__Actinobacteria	C__Chitinivibrionia	C__Gemmatimonadetes	C__Nitrospira	P__Planctomycetes	C__Anaerolineae	P__Latescibacteria	C__Endomicrobia	C__Dehalococcoidia	C__Subdivision3	C__Acidobacteria_Gp5	C__Caldilineae	C__Holophagae	C__Spartobacteria	C__Phycisphaerae	C__Ignavibacteria	C__Armatimonadetes_gp2	P__Microgenomates	C__Candidatus_Cloacamonas	C__Synergistia	P__candidate_division_WPS.1	C__Opitutae	C__Acidobacteria_Gp17	C__Acidobacteria_Gp22	C__Armatimonadetes_gp5	C__Acidobacteria_Gp2	C__Caldisericia	C__Acidobacteria_Gp10	C__Acidobacteria_Gp7	C__Chlamydiia	C__Acidobacteria_Gp23	C__Fimbriimonadia	P__Acidobacteria	C__Armatimonadetes_gp4	P__Lentisphaerae
2020-023_BSP_0253	F2	495	496	2291	263	994	406	188	289	0	215	0	170	0	360	0	0	0	0	145	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0261	F2	257	5203	3495	239	405	1505	0	497	1913	403	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0296	F2	2935	1530	2365	0	1499	753	2	1794	21	779	0	46	139	363	0	0	268	38	0	187	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0312	F2	2209	2108	3355	190	567	1215	0	698	1388	262	0	97	0	627	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0327	F2	2781	1110	4041	4206	577	3002	282	4182	2971	1861	0	192	958	96	0	0	0	22	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0348	F2	4606	949	17378	0	2640	0	709	1167	2877	7	0	302	0	632	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0361	F2	12	259	33	60	0	32	41	96	35	29	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0379	F2	1186	1054	1676	306	251	0	22	163	0	385	0	0	0	259	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0381	F2	1837	2916	6527	6160	4971	155	516	1331	2198	866	0	1193	0	708	0	0	0	2	174	279	0	0	0	0	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0388	F2	52	382	608	176	4	0	89	603	43	129	0	0	0	318	0	0	0	0	0	266	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0414	F2	235	3952	2281	215	965	198	324	1679	0	343	0	220	0	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0421	F2	1805	2690	2318	53	2776	3159	154	3819	693	441	163	0	0	140	140	0	0	22	558	33	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0432	F2	5420	1567	1875	0	3602	17691	182	12439	105	284	0	0	974	676	321	93	217	9	120	555	0	0	0	191	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0438	F2	2064	2175	1216	968	528	804	127	283	333	372	0	0	0	418	95	0	2	2	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0442	F2	3440	3105	5665	0	952	425	0	1429	2	2141	0	0	0	298	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0450	F2	1839	2053	4130	827	105	9906	458	15166	2405	237	272	411	0	2468	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0461	F2	1552	870	1693	441	1960	1508	0	5723	2765	570	0	0	486	390	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0464	F2	725	52	2501	154	7	0	1080	273	1737	358	0	358	0	382	0	0	0	0	49	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0471	F2	8728	1335	2048	0	811	1965	0	4206	267	389	242	0	0	778	0	5	0	34	0	74	558	0	0	0	105	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0473	F2	5968	3420	5725	251	4460	8726	514	6409	1015	936	377	272	2081	1242	0	0	0	24	1106	0	555	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0478	F2	1636	1644	2512	295	841	191	0	440	1630	412	0	205	0	1137	137	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0483	F2	5359	2743	5007	139	1053	4365	608	6169	2566	910	0	768	0	1571	0	0	193	0	535	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_BSP_0496	F2	3262	2686	1500	133	804	1035	0	380	2586	810	0	0	0	202	0	194	0	77	0	0	0	114	587	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
