new_id	phase	C__Flavobacteriia	C__Bacilli	C__Betaproteobacteria	K__Bacteria	C__Actinobacteria	C__Alphaproteobacteria	C__Epsilonproteobacteria	C__Gammaproteobacteria	C__Chloroplast	P__Parcubacteria	C__Negativicutes	C__Cytophagia	C__Bacteroidia	C__Oligoflexia	P__Proteobacteria	C__Clostridia	C__Acidobacteria_Gp4	C__Sphingobacteriia	C__Deltaproteobacteria	C__Cyanobacteria	P__Cyanobacteria.Chloroplast	C__Gemmatimonadetes	P__Candidatus_Saccharibacteria	P__Firmicutes	P__Bacteroidetes	C__Acidobacteria_Gp6	C__Acidobacteria_Gp3	C__Deinococci	C__Armatimonadia	C__Mollicutes	C__Caldilineae	C__Verrucomicrobiae	P__SR1	C__Erysipelotrichia	C__Spirochaetia	P__Chloroflexi	C__Nitrospira	Unassigned	P__Planctomycetes	C__Spartobacteria	C__Acidobacteria_Gp16	C__Phycisphaerae	P__Acidobacteria	C__Acidobacteria_Gp17	C__Fibrobacteria	C__Chloroflexia	C__Fusobacteriia	C__Acidobacteria_Gp1	C__Thermoleophilia	C__Planctomycetia	P__Verrucomicrobia	C__Subdivision3	C__Armatimonadetes_gp5	C__Synergistia	P__Microgenomates	C__Anaerolineae	C__Deferribacteres	C__Opitutae	C__Candidatus_Cloacamonas	C__Holophagae	C__Acidobacteria_Gp11	P__candidate_division_WPS.1	C__Thermomicrobia	C__Acidobacteria_Gp10	P__Actinobacteria	C__Fimbriimonadia	C__Chitinivibrionia	C__Candidatus_Hydrogenedens	P__Latescibacteria	C__Endomicrobia	P__Lentisphaerae	C__Ignavibacteria	C__Oligosphaeria	C__Lentisphaeria	C__Armatimonadetes_gp4
2020-023_PSC_0695	BL	8050	438	6986	8569	1856	2453	0	1684	2943	2700	0	1567	0	228	787	103	184	606	599	0	2	103	96	0	729	0	0	0	0	0	0	158	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0698	BL	4727	835	2107	2771	6882	1510	0	1854	1079	1065	0	284	170	160	399	720	0	178	439	0	0	16	192	106	122	113	0	0	0	0	0	0	8	0	142	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0706	BL	1100	171	655	912	617	1078	0	575	0	451	0	0	174	0	294	712	101	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0719	BL	6323	584	3304	3879	1156	2589	0	2704	1236	562	0	365	174	147	717	113	0	232	532	0	96	272	430	0	270	0	246	0	0	64	72	22	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0724	BL	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0737	BL	3115	5290	2823	1651	754	1611	307	1449	715	587	0	339	221	149	278	257	0	243	405	146	0	0	50	65	36	61	0	0	27	0	0	43	0	103	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0743	BL	5350	11156	5955	2803	1928	2812	0	3131	785	1541	165	312	312	211	326	2930	85	4	178	217	0	0	78	0	218	0	397	262	0	0	0	97	0	0	74	0	95	0	0	0	0	10	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0748	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0751	BL	4599	387	2824	1923	547	1889	0	1084	621	462	0	198	127	0	527	154	0	155	312	90	0	0	329	0	257	0	94	0	0	0	0	0	34	0	0	0	0	8	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0752	BL	929	361	189	796	814	683	0	473	133	543	0	15	52	0	365	116	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0755	BL	3530	11396	5278	2176	4138	2506	0	2297	7727	129	0	503	2212	0	546	3855	0	169	447	218	0	0	0	0	471	0	0	0	0	0	0	22	0	188	0	0	0	8	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0760	BL	5170	341	3311	2520	977	1076	277	1354	799	559	0	464	280	338	466	766	43	320	302	0	0	151	10	0	52	0	33	0	0	0	136	7	70	0	0	0	62	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0763	BL	0	8807	4347	0	1185	877	0	1678	0	0	0	82	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
