new_id	phase	C__Flavobacteriia	C__Bacilli	C__Betaproteobacteria	K__Bacteria	C__Actinobacteria	C__Alphaproteobacteria	C__Epsilonproteobacteria	C__Gammaproteobacteria	C__Chloroplast	P__Parcubacteria	C__Negativicutes	C__Cytophagia	C__Bacteroidia	C__Oligoflexia	P__Proteobacteria	C__Clostridia	C__Acidobacteria_Gp4	C__Sphingobacteriia	C__Deltaproteobacteria	C__Cyanobacteria	P__Cyanobacteria.Chloroplast	C__Gemmatimonadetes	P__Candidatus_Saccharibacteria	P__Firmicutes	P__Bacteroidetes	C__Acidobacteria_Gp6	C__Acidobacteria_Gp3	C__Deinococci	C__Armatimonadia	C__Mollicutes	C__Caldilineae	C__Verrucomicrobiae	P__SR1	C__Erysipelotrichia	C__Spirochaetia	P__Chloroflexi	C__Nitrospira	Unassigned	P__Planctomycetes	C__Spartobacteria	C__Acidobacteria_Gp16	C__Phycisphaerae	P__Acidobacteria	C__Acidobacteria_Gp17	C__Fibrobacteria	C__Chloroflexia	C__Fusobacteriia	C__Acidobacteria_Gp1	C__Thermoleophilia	C__Planctomycetia	P__Verrucomicrobia	C__Subdivision3	C__Armatimonadetes_gp5	C__Synergistia	P__Microgenomates	C__Anaerolineae	C__Deferribacteres	C__Opitutae	C__Candidatus_Cloacamonas	C__Holophagae	C__Acidobacteria_Gp11	P__candidate_division_WPS.1	C__Thermomicrobia	C__Acidobacteria_Gp10	P__Actinobacteria	C__Fimbriimonadia	C__Chitinivibrionia	C__Candidatus_Hydrogenedens	P__Latescibacteria	C__Endomicrobia	P__Lentisphaerae	C__Ignavibacteria	C__Oligosphaeria	C__Lentisphaeria	C__Armatimonadetes_gp4
2020-023_PSC_0234	BL	1127	6787	3219	810	2961	1520	24	2436	69	99	42	211	276	0	0	1770	0	114	47	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0235	BL	2059	4426	3096	3501	4221	1249	257	1718	0	488	0	392	1956	379	0	802	0	404	0	477	0	0	0	154	0	0	0	0	0	0	0	0	0	308	0	0	0	4	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0239	BL	10952	1042	6397	6801	3067	3142	0	1436	1240	2168	0	989	0	95	1446	1908	53	351	1165	0	195	0	254	0	165	0	0	0	0	0	0	120	112	0	0	0	0	354	0	45	0	0	0	0	0	0	0	0	0	34	86	0	0	0	41	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0243	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0274	BL	3372	6598	3449	1237	2119	2217	0	1166	222	491	0	482	0	80	308	688	0	81	18	119	0	0	70	0	28	0	79	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0284	BL	18077	1322	4523	2727	568	1599	52	929	3695	130	7	855	73	79	655	350	119	304	274	43	17	24	28	56	306	6	109	30	21	0	82	0	16	0	55	6	0	4	0	14	9	8	0	0	0	11	0	0	0	8	10	7	0	0	0	20	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0285	BL	2178	5891	2525	1583	819	1107	0	1333	147	477	0	121	299	100	103	931	54	142	114	60	0	0	21	11	70	81	0	0	0	0	0	64	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0292	BL	1969	457	1984	909	526	819	0	446	803	444	0	531	84	0	115	928	32	114	188	120	0	0	0	0	108	0	79	0	0	0	0	0	105	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	17	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0299	BL	4957	464	4085	1800	1373	2375	41	1456	260	395	165	963	265	0	209	287	0	246	296	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0302	BL	4279	44152	2104	1956	19599	912	864	2829	758	610	0	296	184	255	399	503	86	81	335	0	0	0	0	0	18	0	0	0	0	0	0	54	154	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0313	BL	3957	2884	2763	1621	436	1136	0	879	604	382	0	387	0	80	231	309	25	111	266	134	0	71	48	0	0	0	0	0	8	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0332	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0343	BL	3177	6612	3697	1089	1014	1467	0	1892	548	395	38	267	143	61	123	949	91	91	272	40	0	0	0	99	62	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0346	BL	1154	4459	2669	577	244	1448	0	1340	552	112	0	5	250	50	120	483	0	0	12	84	125	0	0	81	0	0	0	0	0	0	35	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0347	BL	779	14	863	1364	1303	840	0	858	86	154	0	0	0	0	0	324	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0356	BL	1878	712	959	923	2706	616	0	236	77	591	173	152	2848	0	0	4342	0	194	329	0	0	0	343	147	0	0	0	0	0	0	0	23	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0367	BL	2302	8194	3411	763	1621	2297	0	1819	277	210	123	246	449	0	16	1321	0	60	253	512	0	0	127	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0371	BL	4277	294	1892	2201	626	1427	0	1458	975	575	0	121	0	0	337	825	212	404	390	0	0	0	243	0	0	0	0	0	0	0	0	28	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	3	17	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0375	BL	16	1032	185	103	289	18	0	135	0	0	4642	0	8471	0	53	6354	0	0	39	4	0	0	9	405	10	0	0	0	0	0	0	7	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0377	BL	2773	237	3134	1206	2195	1444	0	490	292	455	0	405	212	0	628	411	0	0	0	123	0	0	0	83	92	0	0	0	0	0	131	6	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	38	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0391	BL	5096	6064	3851	3122	1470	1694	0	2778	905	674	0	495	372	83	308	473	96	145	390	84	71	0	190	0	60	103	0	0	0	0	70	18	29	178	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	45	0	0	9	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0394	BL	3431	153	594	1005	1068	2267	227	576	752	867	0	54	0	0	74	353	392	0	134	0	0	0	105	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0397	BL	1424	6599	2757	770	5386	1063	0	1167	371	90	159	90	639	0	88	2290	81	253	173	228	0	0	19	45	9	0	0	59	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0400	BL	204	91	93	157	101	23	0	80	3	15	0	0	26	0	0	30	0	9	0	0	0	0	4	7	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0408	BL	1319	253	936	718	21	458	0	261	126	272	0	65	230	75	49	340	41	163	137	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0419	BL	1630	6437	2035	758	1049	1500	0	2067	280	455	0	47	363	46	113	240	52	0	203	419	0	0	42	0	182	101	0	92	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0430	BL	1507	125	912	1171	1848	531	108	455	373	439	0	84	47	0	99	128	161	102	336	0	0	107	82	0	0	0	0	0	26	0	0	0	0	62	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0437	BL	4218	648	3586	2629	1204	2580	0	1047	81	753	0	274	138	0	325	73	0	0	22	0	0	0	12	0	0	0	0	0	0	0	0	0	45	0	237	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0439	BL	2245	6595	2828	774	648	855	0	1881	267	283	0	215	37	49	4	1568	48	48	85	90	0	0	74	208	56	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0446	BL	5856	3209	5754	3879	6011	4954	760	3617	1376	1770	250	0	933	153	194	2167	438	0	833	0	0	3	167	0	91	0	363	0	0	0	0	0	0	299	0	0	0	4	56	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0453	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0456	BL	2219	256	1158	1226	311	253	0	450	326	340	87	342	0	217	0	521	130	0	284	0	0	0	0	0	76	0	0	0	0	0	0	0	0	109	0	0	45	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0462	BL	3010	5076	2913	1284	562	1372	0	1408	795	357	0	77	0	0	66	65	0	39	226	30	45	0	39	0	31	6	0	16	0	0	0	0	0	35	0	0	37	0	0	0	0	0	0	0	0	16	164	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0465	BL	4082	427	2298	2143	821	1551	0	421	427	461	0	235	0	132	812	1045	120	238	441	0	0	0	63	0	129	0	0	0	0	0	0	12	0	0	125	59	0	3	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0485	BL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0505	BL	2941	5993	4770	913	954	862	0	913	452	207	125	94	127	23	243	2257	30	208	307	119	0	0	7	67	0	53	2	144	0	0	0	3	0	44	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0508	BL	1590	222	652	789	509	221	0	366	220	171	0	58	94	23	86	435	0	0	81	19	0	28	0	0	7	0	0	0	0	0	0	0	75	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0
2020-023_PSC_0511	BL	880	35	752	947	428	180	0	89	738	145	0	137	0	0	323	129	0	201	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0512	BL	2194	6135	2063	977	1026	814	0	1407	708	116	191	141	275	195	141	1813	0	203	144	53	0	0	0	23	0	0	0	0	0	0	0	16	11	0	41	13	0	0	0	0	0	0	68	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0525	BL	882	121	141	276	391	116	14	134	19	78	0	14	15	17	65	52	30	41	46	0	0	0	9	17	13	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0527	BL	2536	498	856	2888	754	2978	0	1875	181	482	0	547	904	0	0	1734	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0528	BL	14	1002	173	103	671	42	0	54	0	0	3689	7	6159	0	27	4915	0	0	37	0	0	0	0	356	0	0	0	5	0	0	0	8	0	49	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0532	BL	1471	541	1420	587	1410	704	0	140	295	83	0	465	206	0	0	257	0	109	217	0	0	0	133	0	0	0	132	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0534	BL	4049	470	2041	1991	1145	2042	0	786	647	829	0	653	0	304	354	876	0	89	598	0	0	0	185	0	140	0	0	0	0	35	0	46	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0539	BL	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0543	BL	3674	4223	2434	1286	487	556	52	1226	682	272	122	378	0	97	151	0	90	81	242	171	0	0	208	41	30	82	0	0	49	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0547	BL	439	55	302	262	422	113	0	210	73	88	0	31	4	9	20	31	0	0	88	3	0	0	8	21	18	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0551	BL	9680	1205	4159	4033	1552	2262	0	1508	450	1523	0	425	0	225	1168	757	0	305	1084	0	0	0	131	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0578	BL	3444	311	3573	2381	586	1143	251	990	487	54	181	448	94	107	180	315	0	39	436	0	87	0	98	0	154	0	35	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0
2020-023_PSC_0581	BL	8195	690	4342	2075	3563	1542	0	3670	794	1153	0	361	114	284	447	455	80	187	463	0	0	51	60	0	191	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0587	BL	3058	103	1211	1872	557	820	0	806	506	279	0	250	0	66	227	149	128	60	117	0	0	0	79	0	47	0	24	0	0	51	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0588	BL	2544	627	2051	2739	729	794	0	1041	669	322	0	623	0	0	562	195	4	0	191	0	0	0	0	0	75	51	0	0	0	0	0	44	0	0	0	0	0	31	0	5	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0595	BL	31244	112	7781	5176	803	2165	185	1305	3923	431	32	1190	155	238	842	226	107	606	943	22	79	53	12	24	711	147	151	18	15	0	71	41	56	0	24	0	0	0	8	14	10	18	0	0	0	0	12	0	0	34	15	13	0	0	0	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
2020-023_PSC_0603	BL	4562	967	4978	3885	4376	2411	11	1863	613	1502	92	291	3	0	115	1584	0	0	258	0	0	61	114	0	92	0	125	0	0	0	0	49	0	363	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0607	BL	2109	2923	1996	1067	657	510	0	1081	318	167	0	25	59	21	180	658	0	89	342	0	6	0	0	22	37	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	63	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0616	BL	5334	26240	1394	1945	555	624	0	356	367	485	89	73	0	18	321	150	9	73	335	18	0	0	29	35	13	11	26	0	0	0	0	0	0	0	0	0	0	54	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0618	BL	3726	10927	5110	1182	2132	1673	0	2320	339	230	0	702	142	76	117	948	0	149	217	0	0	47	0	0	26	33	0	0	29	0	0	10	0	0	76	0	0	0	0	0	0	15	0	0	0	0	0	0	0	33	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0639	BL	3626	299	2931	2250	3470	2490	0	794	808	298	0	385	0	31	628	904	0	0	175	0	0	0	0	109	129	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0643	BL	1803	7786	3885	1012	3788	2219	0	2018	253	229	0	95	285	70	178	1901	0	175	103	471	0	0	29	83	413	0	88	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0658	BL	4192	5782	2527	2358	655	1007	0	1569	569	230	172	382	219	125	268	751	0	176	134	118	0	0	34	0	16	0	42	0	0	0	0	18	0	45	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0667	BL	2659	5321	3689	1382	1346	1292	0	1557	790	282	74	263	78	57	219	622	0	48	107	0	0	18	61	0	0	0	17	0	0	0	23	0	49	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0670	BL	1394	387	742	1184	869	462	0	527	340	112	0	0	1637	132	145	4666	0	202	188	0	0	0	0	0	0	144	331	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0688	BL	3272	6951	3935	1644	1284	1323	0	1302	472	554	0	109	142	74	248	444	77	0	453	93	0	43	0	0	132	0	62	0	0	0	0	13	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-023_PSC_0694	BL	1101	9636	3879	400	6835	2231	0	2178	189	127	0	61	771	110	135	1737	163	26	62	283	0	0	0	0	8	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
