new_id	phase	K__Bacteria	NA
2020-023_PSC_0529	BL	30887	0
2020-023_PSC_0531	BL	18636	0
2020-023_PSC_0532	BL	50414	0
2020-023_PSC_0533	BL	20256	0
2020-023_PSC_0534	BL	19191	0
2020-023_PSC_0535	BL	43474	0
2020-023_PSC_0536	BL	50032	0
2020-023_PSC_0537	BL	25276	0
2020-023_PSC_0539	BL	10981	0
2020-023_PSC_0541	BL	28953	0
2020-023_PSC_0543	BL	31002	0
2020-023_PSC_0547	BL	16108	0
2020-023_PSC_0551	BL	12046	0
2020-023_PSC_0553	BL	20301	0
2020-023_PSC_0554	BL	15263	0
2020-023_PSC_0555	BL	27844	0
2020-023_PSC_0556	BL	18446	0
2020-023_PSC_0557	BL	19522	0
2020-023_PSC_0559	BL	17817	0
2020-023_PSC_0563	BL	20399	0
2020-023_PSC_0567	BL	14666	0
2020-023_PSC_0569	BL	39542	0
2020-023_PSC_0570	BL	17930	0
2020-023_PSC_0571	BL	34523	0
2020-023_PSC_0572	BL	35229	0
2020-023_PSC_0573	BL	49875	0
2020-023_PSC_0574	BL	23996	0
2020-023_PSC_0576	BL	13349	0
2020-023_PSC_0577	BL	32776	0
2020-023_PSC_0578	BL	19298	0
2020-023_PSC_0579	BL	12340	0
2020-023_PSC_0581	BL	31489	0
2020-023_PSC_0583	BL	35674	0
2020-023_PSC_0585	BL	16184	0
2020-023_PSC_0586	BL	22541	0
2020-023_PSC_0587	BL	19275	0
2020-023_PSC_0588	BL	18385	0
2020-023_PSC_0589	BL	20017	0
2020-023_PSC_0591	BL	13666	0
2020-023_PSC_0595	BL	27701	0
2020-023_PSC_0596	BL	35979	0
2020-023_PSC_0598	BL	24088	0
2020-023_PSC_0600	BL	19505	0
2020-023_PSC_0603	BL	14183	0
2020-023_PSC_0607	BL	26108	0
2020-023_PSC_0609	BL	23296	0
2020-023_PSC_0610	BL	25789	0
2020-023_PSC_0613	BL	19242	0
2020-023_PSC_0614	BL	9081	0
2020-023_PSC_0616	BL	23873	0
2020-023_PSC_0618	BL	22426	0
2020-023_PSC_0619	BL	17263	0
2020-023_PSC_0620	BL	23324	0
2020-023_PSC_0624	BL	16603	0
2020-023_PSC_0625	BL	27170	0
2020-023_PSC_0626	BL	22782	0
2020-023_PSC_0627	BL	30830	0
2020-023_PSC_0628	BL	28429	0
2020-023_PSC_0629	BL	34318	0
2020-023_PSC_0630	BL	21555	0
2020-023_PSC_0632	BL	31930	0
2020-023_PSC_0633	BL	21983	0
2020-023_PSC_0634	BL	14882	0
2020-023_PSC_0635	BL	25349	0
2020-023_PSC_0638	BL	18736	0
2020-023_PSC_0639	BL	16122	0
2020-023_PSC_0640	BL	12712	0
2020-023_PSC_0642	BL	61769	0
2020-023_PSC_0643	BL	13011	0
2020-023_PSC_0644	BL	33629	0
2020-023_PSC_0647	BL	30620	0
2020-023_PSC_0648	BL	19811	0
2020-023_PSC_0649	BL	21445	0
2020-023_PSC_0651	BL	41445	0
2020-023_PSC_0652	BL	22120	0
2020-023_PSC_0653	BL	19261	0
2020-023_PSC_0654	BL	31480	0
2020-023_PSC_0655	BL	22131	0
2020-023_PSC_0657	BL	21499	0
2020-023_PSC_0658	BL	23216	0
2020-023_PSC_0659	BL	13318	0
2020-023_PSC_0660	BL	49869	0
2020-023_PSC_0663	BL	18264	0
2020-023_PSC_0664	BL	29570	0
2020-023_PSC_0665	BL	30039	0
2020-023_PSC_0666	BL	33488	3
2020-023_PSC_0667	BL	30984	0
2020-023_PSC_0669	BL	24446	0
2020-023_PSC_0670	BL	11620	0
2020-023_PSC_0671	BL	26277	0
2020-023_PSC_0673	BL	18767	0
2020-023_PSC_0675	BL	17437	0
2020-023_PSC_0678	BL	15732	0
2020-023_PSC_0680	BL	18022	0
2020-023_PSC_0681	BL	54066	0
2020-023_PSC_0683	BL	22682	0
2020-023_PSC_0684	BL	44456	0
2020-023_PSC_0685	BL	29086	0
2020-023_PSC_0687	BL	28605	0
2020-023_PSC_0688	BL	29951	0
2020-023_PSC_0689	BL	11262	0
2020-023_PSC_0691	BL	18365	0
2020-023_PSC_0694	BL	49794	0
2020-023_PSC_0695	BL	10114	0
2020-023_PSC_0696	BL	22435	0
2020-023_PSC_0698	BL	10564	0
2020-023_PSC_0699	BL	33529	0
2020-023_PSC_0700	BL	39788	0
2020-023_PSC_0701	BL	31040	0
2020-023_PSC_0702	BL	12292	0
2020-023_PSC_0704	BL	15570	0
2020-023_PSC_0705	BL	19273	0
2020-023_PSC_0706	BL	45574	0
2020-023_PSC_0707	BL	65126	0
2020-023_PSC_0709	BL	25045	0
2020-023_PSC_0710	BL	32094	0
2020-023_PSC_0712	BL	25874	0
2020-023_PSC_0713	BL	26938	0
2020-023_PSC_0714	BL	23377	0
2020-023_PSC_0716	BL	66643	0
2020-023_PSC_0717	BL	25706	0
2020-023_PSC_0718	BL	44351	0
2020-023_PSC_0719	BL	17121	0
2020-023_PSC_0720	BL	32796	0
2020-023_PSC_0722	BL	31644	0
2020-023_PSC_0723	BL	28957	0
2020-023_PSC_0724	BL	10033	0
2020-023_PSC_0725	BL	15209	0
2020-023_PSC_0727	BL	31556	0
2020-023_PSC_0728	BL	16570	0
2020-023_PSC_0729	BL	28463	0
2020-023_PSC_0730	BL	20236	0
2020-023_PSC_0731	BL	33446	0
2020-023_PSC_0733	BL	16447	0
2020-023_PSC_0734	BL	45661	0
2020-023_PSC_0737	BL	62652	0
2020-023_PSC_0738	BL	17052	0
2020-023_PSC_0743	BL	21150	0
2020-023_PSC_0745	BL	26947	0
2020-023_PSC_0746	BL	24288	0
2020-023_PSC_0748	BL	12268	0
2020-023_PSC_0749	BL	80333	0
2020-023_PSC_0750	BL	9758	0
2020-023_PSC_0751	BL	32560	0
2020-023_PSC_0752	BL	13916	0
2020-023_PSC_0753	BL	12445	0
2020-023_PSC_0754	BL	14692	0
2020-023_PSC_0755	BL	39334	0
2020-023_PSC_0757	BL	13207	0
2020-023_PSC_0760	BL	22967	0
2020-023_PSC_0761	BL	12873	0
2020-023_PSC_0763	BL	29885	0
2020-023_PSC_0764	BL	11100	0
2020-023_PSC_0765	BL	12941	0
2020-023_PSC_0766	BL	10337	0
2020-023_PSC_0768	BL	55972	0
2020-023_PSC_0769	BL	23526	0
2020-023_PSC_0770	BL	20548	0
2020-023_PSC_0771	BL	35492	0
2020-023_PSC_0772	BL	19415	0
2020-023_PSC_0773	BL	14359	0
2020-023_PSC_0774	BL	17410	0
2020-023_PSC_0775	BL	36275	0
2020-023_PSC_0778	BL	28513	0
2020-023_PSC_0779	BL	33194	0
2020-023_PSC_0780	BL	21224	0
2020-023_PSC_0781	BL	26348	0
2020-023_PSC_0783	BL	30059	0
